Date,BTC-USD Price,ETH-USD Price,LTC-USD Price
9/17/2014,457.3340149,,5.058549881
9/18/2014,424.4400024,,4.685229778
9/19/2014,394.79599,,4.327770233
9/20/2014,408.9039917,,4.286439896
9/21/2014,398.8210144,,4.245920181
9/22/2014,402.1520081,,4.242350101
9/23/2014,435.7909851,,4.74657011
9/24/2014,423.2049866,,4.666790009
9/25/2014,411.5740051,,4.514649868
9/26/2014,404.4249878,,4.433589935
9/27/2014,399.519989,,4.421800137
9/28/2014,377.1809998,,4.233230114
9/29/2014,375.4670105,,4.246789932
9/30/2014,386.9440002,,4.474730015
10/1/2014,383.6149902,,4.42855978
10/2/2014,375.071991,,4.322659969
10/3/2014,359.5119934,,4.175119877
10/4/2014,328.8659973,,3.938199997
10/5/2014,320.5100098,,3.699140072
10/6/2014,330.07901,,3.822370052
10/7/2014,336.1870117,,3.858629942
10/8/2014,352.9400024,,3.907890081
10/9/2014,365.026001,,3.900660038
10/10/2014,361.5620117,,3.807389975
10/11/2014,362.2990112,,3.772660017
10/12/2014,378.5490112,,3.850330114
10/13/2014,390.4140015,,3.861779928
10/14/2014,400.8699951,,4.075910091
10/15/2014,394.7730103,,4.056419849
10/16/2014,382.5559998,,3.990890026
10/17/2014,383.7579956,,3.99326992
10/18/2014,391.4419861,,4.055759907
10/19/2014,389.54599,,3.988940001
10/20/2014,382.8450012,,3.909830093
10/21/2014,386.4750061,,3.940010071
10/22/2014,383.1579895,,3.843319893
10/23/2014,358.4169922,,3.739650011
10/24/2014,358.3450012,,3.747529984
10/25/2014,347.2709961,,3.667550087
10/26/2014,354.70401,,3.727180004
10/27/2014,352.9890137,,3.807310104
10/28/2014,357.6180115,,3.846070051
10/29/2014,335.5910034,,3.72694993
10/30/2014,345.3049927,,3.785860062
10/31/2014,338.3210144,,3.753999949
11/1/2014,325.7489929,,3.570590019
11/2/2014,325.8919983,,3.585099936
11/3/2014,327.5539856,,3.578059912
11/4/2014,330.4920044,,3.59175992
11/5/2014,339.4859924,,3.644850016
11/6/2014,349.2900085,,3.649559975
11/7/2014,342.4150085,,3.557369947
11/8/2014,345.4880066,,3.556260109
11/9/2014,363.2640076,,3.631459951
11/10/2014,366.9240112,,3.695630074
11/11/2014,367.6950073,,3.675889969
11/12/2014,423.5610046,,4.068610191
11/13/2014,420.7349854,,4.097660065
11/14/2014,397.8179932,,3.989370108
11/15/2014,376.1329956,,3.854330063
11/16/2014,387.8819885,,3.883630037
11/17/2014,387.4079895,,3.877439976
11/18/2014,375.197998,,3.77015996
11/19/2014,380.5549927,,3.80746007
11/20/2014,357.8399963,,3.611550093
11/21/2014,350.8479919,,3.496929884
11/22/2014,352.9200134,,3.523289919
11/23/2014,367.572998,,3.594360113
11/24/2014,376.901001,,3.628550053
11/25/2014,375.3479919,,3.567500114
11/26/2014,368.3699951,,3.560460091
11/27/2014,369.6700134,,3.559880018
11/28/2014,376.446991,,3.603859901
11/29/2014,375.4909973,,3.586280107
11/30/2014,378.0469971,,3.576090097
12/1/2014,379.2449951,,3.577140093
12/2/2014,381.3150024,,3.631099939
12/3/2014,375.0100098,,3.612020016
12/4/2014,369.6040039,,3.59262991
12/5/2014,376.8540039,,3.618230104
12/6/2014,374.7850037,,3.614520073
12/7/2014,375.0950012,,3.711159945
12/8/2014,361.9089966,,3.653199911
12/9/2014,352.2189941,,3.521169901
12/10/2014,346.3649902,,3.499860048
12/11/2014,350.506012,,3.481080055
12/12/2014,352.5419922,,3.486710072
12/13/2014,347.3760071,,3.476069927
12/14/2014,351.6319885,,3.480479956
12/15/2014,345.3450012,,3.450779915
12/16/2014,327.0620117,,3.015259981
12/17/2014,319.776001,,2.940229893
12/18/2014,311.3959961,,2.805569887
12/19/2014,317.8429871,,2.869110107
12/20/2014,329.9559937,,2.923579931
12/21/2014,320.8429871,,2.850389957
12/22/2014,331.8859863,,2.88579011
12/23/2014,334.571991,,2.881959915
12/24/2014,322.5339966,,2.738339901
12/25/2014,319.0079956,,2.699450016
12/26/2014,327.9240112,,2.781689882
12/27/2014,315.8630066,,2.71694994
12/28/2014,317.2390137,,2.733040094
12/29/2014,312.6700134,,2.694819927
12/30/2014,310.7369995,,2.70401001
12/31/2014,320.1929932,,2.718930006
1/1/2015,314.2489929,,2.69904995
1/2/2015,315.0320129,,2.667360067
1/3/2015,281.0820007,,2.133160114
1/4/2015,264.1950073,,1.956680059
1/5/2015,274.473999,,2.082180023
1/6/2015,286.1889954,,2.112119913
1/7/2015,294.3370056,,2.118180037
1/8/2015,283.348999,,2.008069992
1/9/2015,290.4079895,,1.983360052
1/10/2015,274.79599,,1.653319955
1/11/2015,265.6600037,,1.724560022
1/12/2015,267.79599,,1.714229941
1/13/2015,225.8609924,,1.541120052
1/14/2015,178.1029968,,1.157009959
1/15/2015,209.8439941,,1.282770038
1/16/2015,208.0970001,,1.402269959
1/17/2015,199.2599945,,1.293409944
1/18/2015,210.3390045,,1.333330035
1/19/2015,214.8609924,,1.341779947
1/20/2015,211.3150024,,1.323549986
1/21/2015,226.8970032,,1.37330997
1/22/2015,233.4060059,,1.418750048
1/23/2015,232.8789978,,1.42595005
1/24/2015,247.8470001,,1.843799949
1/25/2015,253.7180023,,2.248300076
1/26/2015,273.4729919,,2.081049919
1/27/2015,263.4750061,,2.086080074
1/28/2015,233.9149933,,1.872020006
1/29/2015,233.5130005,,1.915670037
1/30/2015,226.4250031,,1.897629976
1/31/2015,217.4640045,,1.87349999
2/1/2015,226.9720001,,1.803519964
2/2/2015,238.2290039,,1.876180053
2/3/2015,227.2680054,,1.821760058
2/4/2015,226.8529968,,1.792350054
2/5/2015,217.1109924,,1.741230011
2/6/2015,222.2660065,,1.759410024
2/7/2015,227.7539978,,1.781720042
2/8/2015,223.4120026,,1.783589959
2/9/2015,220.1100006,,1.731469989
2/10/2015,219.8390045,,1.763180017
2/11/2015,219.1849976,,1.72744
2/12/2015,221.7640076,,1.757560015
2/13/2015,235.427002,,1.82167995
2/14/2015,257.3210144,,1.93769002
2/15/2015,234.8249969,,1.842000008
2/16/2015,233.8430023,,1.796280026
2/17/2015,243.6100006,,1.853119969
2/18/2015,236.326004,,1.828160048
2/19/2015,240.2830048,,1.846760035
2/20/2015,243.779007,,1.847949982
2/21/2015,244.5339966,,1.848909974
2/22/2015,235.977005,,1.796200037
2/23/2015,238.8919983,,1.820410013
2/24/2015,238.7350006,,1.829319954
2/25/2015,237.4700012,,1.802340031
2/26/2015,236.4259949,,1.81013
2/27/2015,253.8280029,,1.851420045
2/28/2015,254.2630005,,1.840729952
3/1/2015,260.2019958,,1.891569972
3/2/2015,275.6700134,,1.936100006
3/3/2015,281.7019958,,1.955919981
3/4/2015,273.0920105,,1.930500031
3/5/2015,276.178009,,1.916409969
3/6/2015,272.7229919,,1.897819996
3/7/2015,276.2609863,,1.91050005
3/8/2015,274.3540039,,1.891860008
