Date,FB,TWTR,NFLX
2013-11-07,0.0,0.0,0.0
2013-11-08,-0.06308242087716355,-7.238307027246902,2.4597677754404557
2013-11-11,-2.798228546144081,3.0012003360768147,0.8987778468162909
2013-11-12,0.8874458682371104,-2.3310022223308984,-1.2370201905178217
2013-11-13,4.505466541397396,1.6706347651248292,0.4644524141673465
2013-11-14,0.5748368009615599,4.9061058641364275,2.1743008309639578
2013-11-15,0.04081649149553394,-1.5887201071541832,2.0988393367914324
2013-11-18,-6.488463843642671,-6.457482946793999,-2.2844204728066133
2013-11-19,1.1564455092103283,1.482744323839201,-1.310829178109628
2013-11-20,0.15099007439623588,-1.676649101796408,0.6611554090956013
2013-11-21,0.5815227223777742,2.460419061155154,2.6449081133509362
2013-11-22,-1.0064261026461292,-2.52021154255322,-0.18651334771483977
2013-11-25,-3.0499675535366575,-4.731704878048781,0.6870806540078972
2013-11-26,2.3873248549754478,2.8673808789713036,1.4161749005471993
2013-11-27,1.3074809611567177,1.7919412643106047,2.0523616929034265
2013-11-29,1.1185114597327654,1.6381368392109117,0.9131244949481307
2013-12-02,0.10636673500816528,-1.9004113543420824,-0.5139393293636115
2013-12-03,-0.7012345792342904,1.4467876764783723,-0.26928803255623834
2013-12-04,4.04450888080463,5.607928586123486,-1.8377709611751682
2013-12-05,-0.5758926486197512,4.417486940203409,0.5024273753188818
2013-12-06,-0.827474141497731,-1.4686497472303752,-1.0110040329665955
2013-12-09,1.8773488084553425,9.321463641346739,0.34702968551842156
2013-12-10,2.8869778869778795,5.799762022787197,2.0890139325130095
2013-12-11,-1.7313412935323382,0.6732025130524122,0.24235692446414403
2013-12-12,4.961524808393585,5.712651891478786,2.568825752599518
2013-12-13,2.874778974540653,6.632925840125579,-1.167872886769492
2013-12-16,0.9189816204051003,-4.050845762711858,-0.7209201426848746
2013-12-17,1.9513101291338097,-0.28263557176055104,2.3368124465197084
2013-12-18,1.294201580492126,-1.6651957189513678,0.3654651023653858
2013-12-19,-0.9357585027892759,3.56693221282409,0.13289096996119304
2013-12-20,0.12715713219177402,4.383363910823993,-0.2840189520624292
